"Var1","Var2","value","year"
"R813_R1020","R247_R539_L433",0.154582074521652,"2018"
"R814","R247_R539_L433",0.483804475853946,"2018"
"R150_R751_L230","R291",0.369733737782272,"2018"
"R176_L222","R291",0.468947193623381,"2018"
"R247_R539_L433","R291",0.656120710635191,"2018"
"R291","R291",1,"2018"
"R296","R291",0.639669421487603,"2018"
"R297","R291",0.370848997493734,"2018"
"R305","R291",0.739875651151067,"2018"
"R316","R291",0.483657897733743,"2018"
"R404","R291",1,"2018"
"R437","R291",0.384125326370757,"2018"
"R462_R577","R291",0.46609048416968,"2018"
"R476_R580","R291",0.278578290105668,"2018"
"R520_L575","R291",0.454060363515091,"2018"
"R523","R291",0.642316149523577,"2018"
"R561","R291",0.874334713187463,"2018"
"R584","R291",0.91449814126394,"2018"
"R587","R291",0.707808564231738,"2018"
"R591","R291",0.753846153846154,"2018"
"R605","R291",0.841705131686125,"2018"
"R607","R291",0.657403623484539,"2018"
"R611","R291",1,"2018"
"R623","R291",0.950562274559728,"2018"
"R627_R1334","R291",0.750850562679927,"2018"
"R646","R291",0.988966900702106,"2018"
"R685_R836","R291",0.198458741016538,"2018"
"R693","R291",0.23899913718723,"2018"
"R713","R291",0.958374628344896,"2018"
"R714","R291",1,"2018"
"R716","R291",0.929268292682927,"2018"
"R717","R291",0.821027287319422,"2018"
"R724","R291",0.226473310706572,"2018"
"R726","R291",0.547878787878788,"2018"
"R727","R291",0.367332830568125,"2018"
"R728","R291",0.983379501385042,"2018"
"R729","R291",0.813414634146341,"2018"
"R730","R291",0.647589922819281,"2018"
"R732","R291",0.752975117201587,"2018"
"R734","R291",0.983516483516483,"2018"
"R737","R291",0.969052224371373,"2018"
"R738","R291",0.52060737527115,"2018"
"R739","R291",0.814671260407695,"2018"
"R741_R1232","R291",0.773894046968869,"2018"
"R743","R291",0.811908517350158,"2018"
"R745","R291",0.772667542706964,"2018"
"R747","R291",0.935193519351935,"2018"
"R748","R291",0.910900473933649,"2018"
"R749","R291",0.401814131126671,"2018"
"R750","R291",0.8715953307393,"2018"
"R753","R291",0.835941575378195,"2018"
"R761","R291",1,"2018"
"R767","R291",0.934146341463415,"2018"
"R769","R291",0.964904071127749,"2018"
"R777_R889","R291",0.961205403533079,"2018"
"R800","R291",0.340029835902536,"2018"
"R811","R291",0.365265381208694,"2018"
"R813_R1020","R291",1,"2018"
"R814","R291",0.514428739693757,"2018"
"R150_R751_L230","R296",0.00910010111223458,"2018"
"R176_L222","R296",0.100464961806709,"2018"
"R247_R539_L433","R296",0.160866390849355,"2018"
"R291","R296",0.132420872540633,"2018"
"R296","R296",1,"2018"
"R297","R296",0.0145676691729323,"2018"
"R305","R296",0.123340615022685,"2018"
"R316","R296",0.0101355198724519,"2018"
"R404","R296",0.132835820895522,"2018"
"R437","R296",0.0724804177545692,"2018"
"R462_R577","R296",0.0444483640532675,"2018"
