"uid_ini","uid_rec","AI","year"
"R872","R882",0.0454545454545455,2019
"R872","R896",0.125,2019
"R874","R584",0.1,2019
"R874","R685_R836",0.125,2019
"R874","R730",0.111111111111111,2019
"R877","R729",0.142857142857143,2019
"R877","R839",0.5,2019
"R877","R843",0.666666666666667,2019
"R877","R891",0.111111111111111,2019
"R878","R853",0.125,2019
"R878","R860",0.142857142857143,2019
"R878","R863",0.166666666666667,2019
"R878","R891",0.0833333333333333,2019
"R878","R896",0.125,2019
"R879","R591",0.0909090909090909,2019
"R879","R717",0.0454545454545455,2019
"R879","R741_R1232",0.222222222222222,2019
"R879","R834",0.2,2019
"R879","R886",0.0555555555555556,2019
"R879","R894",0.2,2019
"R880","R591",0.125,2019
"R880","R857",0.25,2019
"R880","R897",0.111111111111111,2019
"R882","R717",0.25,2019
"R882","R747",0.166666666666667,2019
"R882","R855",0.130434782608696,2019
"R882","R856",0.0434782608695652,2019
"R882","R864",0.130434782608696,2019
"R882","R866",0.0434782608695652,2019
"R882","R867",0.173913043478261,2019
"R882","R887",0.0434782608695652,2019
"R882","R901",0.0416666666666667,2019
"R882","R934",0.0454545454545455,2019
"R883","R717",0.0454545454545455,2019
"R883","R741_R1232",0.0555555555555556,2019
"R883","R879",0.4,2019
"R885","R729",0.142857142857143,2019
"R885","R855",0.05,2019
"R885","R882",0.0454545454545455,2019
"R886","R717",0.130434782608696,2019
"R886","R736",0.0555555555555556,2019
"R886","R741_R1232",0.142857142857143,2019
"R886","R747",0.25,2019
"R886","R855",0.238095238095238,2019
"R886","R856",0.111111111111111,2019
"R886","R864",0.315789473684211,2019
"R886","R882",0.347826086956522,2019
"R886","R883",0.0555555555555556,2019
"R886","R887",0.0555555555555556,2019
"R886","R891",0.0952380952380952,2019
"R887","R717",0.0454545454545455,2019
"R887","R747",0.2,2019
"R887","R856",0.0833333333333333,2019
"R887","R864",0.0625,2019
"R891","R479",0.1,2019
"R891","R729",0.0588235294117647,2019
"R891","R767",0.111111111111111,2019
"R891","R843",0.1,2019
"R891","R860",0.111111111111111,2019
"R891","R861",0.111111111111111,2019
"R891","R863",0.222222222222222,2019
"R893","R561",0.0714285714285714,2019
"R893","R713",0.1875,2019
"R893","R714",0.0666666666666667,2019
"R893","R734",0.0625,2019
"R893","R741_R1232",0.0526315789473684,2019
"R893","R840",0.0714285714285714,2019
"R893","R857",0.0909090909090909,2019
"R895","R478",0.2,2019
"R896","R611",0.0769230769230769,2019
"R896","R627",0.0714285714285714,2019
"R897","R714",0.0625,2019
"R897","R857",0.111111111111111,2019
"R897","R867",0.0666666666666667,2019
"R897","R893",0.142857142857143,2019
"R898","R850",0.2,2019
"R900","R534_R846_L595",0.111111111111111,2019
"R900","R714",0.0625,2019
"R900","R799",0.0909090909090909,2019
"R900","R850",0.1,2019
"R900","R854",0.0909090909090909,2019
"R900","R857",0.181818181818182,2019
"R900","R864",0.0625,2019
"R900","R880",0.111111111111111,2019
"R900","R893",0.0714285714285714,2019
"R900","R897",0.0666666666666667,2019
"R901","R291",0.0833333333333333,2019
"R901","R713",0.125,2019
"R901","R734",0.0769230769230769,2019
"R901","R851_L1148",0.111111111111111,2019
"R901","R860",0.125,2019
"R901","R872",0.0909090909090909,2019
"R901","R910",0.111111111111111,2019
"R906","R478",0.2,2019
"R906","R523",0.25,2019
"R910","R561",0.222222222222222,2019
"R910","R587",0.0666666666666667,2019
"R910","R591",0.0909090909090909,2019
"R910","R713",0.0625,2019
"R910","R734",0.166666666666667,2019
"R910","R865",0.125,2019
"R910","R881",0.142857142857143,2019
"R910","R893",0.153846153846154,2019
"R911","R881",0.5,2019
"R911","R897",0.111111111111111,2019
"R918","R688",0.1,2019
"R918","R741_R1232",0.0476190476190476,2019
"R918","R767",0.166666666666667,2019
"R918","R853",0.111111111111111,2019
"R918","R872",0.111111111111111,2019
"R918","R878",0.25,2019
"R918","R891",0.0909090909090909,2019
"R927","R584",0.1,2019
"R928","R688",0.142857142857143,2019
"R934","R688",0.142857142857143,2019
"R934","R878",0.125,2019
"R936","R688",0.142857142857143,2019
"R951","R853",0.142857142857143,2019
"R951","R870",0.166666666666667,2019
"R952","R150_R751_L230",0.166666666666667,2019
"R1001","R983",0.285714285714286,2020
"R1004_R1249","R1016_R1261",0.0666666666666667,2020
"R1004_R1249","R1064",0.0714285714285714,2020
"R1004_R1249","R714",0.0416666666666667,2020
"R1004_R1249","R834",0.1875,2020
"R1006","R960",0.333333333333333,2020
"R1006","R979",1,2020
"R1015","R867",0.0588235294117647,2020
"R1016_R1261","R984_R1111_L1314",0.1,2020
"R1019","R1003",0.333333333333333,2020
"R1019","R623",0.142857142857143,2020
"R1070","R1004_R1249",0.0714285714285714,2020
"R150_R751_L230","R831_R1034",0.0588235294117647,2020
"R450","R591",0.1,2020
"R471","R478",0.0714285714285714,2020
"R478","R1003",0.125,2020
"R478","R523",0.111111111111111,2020
"R523","R627",0.0625,2020
"R561","R984_R1111_L1314",0.0476190476190476,2020
"R584","R478",0.0625,2020
"R587","R1004_R1249",0.117647058823529,2020
"R587","R834",0.0714285714285714,2020
"R591","R1016_R1261",0.0833333333333333,2020
"R591","R713",0.05,2020
"R597","R1004_R1249",0.0714285714285714,2020
"R605","R1003",0.0666666666666667,2020
"R605","R150_R751_L230",0.0625,2020
"R605","R478",0.0666666666666667,2020
"R605","R584",0.105263157894737,2020
"R605","R838",0.0555555555555556,2020
"R623","R605",0.0625,2020
"R623","R714",0.05,2020
"R627","R1003",0.0555555555555556,2020
"R627","R1062",0.0666666666666667,2020
"R627","R150_R751_L230",0.0666666666666667,2020
"R627","R471",0.0555555555555556,2020
"R627","R584",0.238095238095238,2020
"R627","R605",0.0476190476190476,2020
"R688","R587",0.0909090909090909,2020
"R695","R747",0.0769230769230769,2020
"R713","R1062",0.0526315789473684,2020
"R713","R523",0.0526315789473684,2020
"R713","R851_L1148",0.0526315789473684,2020
"R714","R1015",0.0416666666666667,2020
"R714","R591",0.05,2020
"R714","R713",0.0869565217391304,2020
"R714","R799",0.0416666666666667,2020
"R729","R1001",0.0625,2020
"R729","R1015",0.1,2020
"R729","R713",0.0384615384615385,2020
"R729","R714",0.0434782608695652,2020
"R729","R747",0.0476190476190476,2020
"R729","R838",0.0869565217391304,2020
"R729","R893",0.08,2020
"R729","R960",0.133333333333333,2020
"R729","R982",0.0625,2020
"R741_R1232","R1004_R1249",0.0526315789473684,2020
"R741_R1232","R1016_R1261",0.0666666666666667,2020
"R741_R1232","R561",0.0714285714285714,2020
"R741_R1232","R587",0.166666666666667,2020
"R741_R1232","R745",0.0769230769230769,2020
