"year","sample.id","sample.date","sample.group","sample.mass","site","sex","age.class","min.age","uid","degree","betweenness","eigen","strength","stan.strength","range.area","range.area.sqrt","social.group"
NA,"DNA2W2C",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2D",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2E",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2F",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90044","21-Jun-18","sample","0.1685","primary","F","juvenile",0,"R781",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90045","21-Jun-18","sample","0.2549","primary","M","juvenile",0,"R769",5,0,0.0103599332908855,0.483823529411765,0.00543621943159287,237,15.3948043183407,"18E"
2018,"S00K90046","21-Jun-18","sample","0.1539","primary","F","juvenile",0,"R782",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90047","21-Jun-18","sample","0.2484","primary","M","juvenile",0,"R729",14,128,0.943033766108249,2.4194301994302,0.0271846089823618,1387.5,37.2491610643783,"18B"
2018,"S00K90048","21-Jun-18","sample","0.2566","primary","M","adult",2,"R471",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90049","21-Jun-18","sample","0.251","primary","F","juvenile",0,"R726",8,211,0.00296037509580135,0.815151515151515,0.00915900578821927,416.5,20.4083316319585,"18A"
2018,"S00K90050","21-Jun-18","sample","0.257","primary","F","juvenile",0,"R714",16,225,0.218827825045386,2.33455433455433,0.0262309475792622,204.5,14.3003496460751,"18D"
2018,"S00K90051","21-Jun-18","sample","0.2527","primary","F","adult",3,"R423",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90052","21-Jun-18","sample","0.2507","primary","F","adult",3,"R368",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90053","21-Jun-18","sample","0.2483","primary","F","juvenile",0,"R749",NA,NA,NA,NA,NA,NA,NA,NA
2019,"S00K90054","4-Jun-19","sample","0.2502","primary","F","adult",3,"R523",3,11,0.00324994787373432,0.517857142857143,0.00631533101045296,382.5,19.5576072156079,"19B"
2019,"S00K90055","4-Jun-19","sample","0.2541","primary","F","adult",2,"R627_R1334",8,243,0.0492999319640368,0.791086691086691,0.00964739867178892,757.5,27.5227178890458,"19B"
2019,"S00K90056","4-Jun-19","sample","0.2555","primary","F","adult",1,"R713",19,719,0.13048516780941,1.36294373411246,0.016621265050152,2164,46.518813398452,"19D"
2019,"S00K90057","4-Jun-19","sample","0.2532","primary","F","adult",2,"R611",11,63,0.0779954867671111,1.37570272864391,0.0167768625444379,360,18.9736659610103,"19F"
2019,"S00K90058","4-Jun-19","sample","0.2492","primary","F","adult",1,"R747",11,93,0.868627051002629,1.59559039863085,0.0194584194954981,1614.5,40.1808412057289,"19E"
2019,"S00K90059","5-Jun-19","sample","0.2435","primary","F","adult",2,"R587",10,131,0.153000210099257,0.83524473892121,0.0101859114502587,1021.5,31.9609136289938,"19A"
2019,"S00K90060","5-Jun-19","sample","0.2648","primary","M","adult",1,"R729",13,410,0.125831118882611,1.1384750870045,0.0138838425244451,360,18.9736659610103,"19F"
